DM_rank,DM_pct,citations,title
4041,5.8041958041958,262,{UDP}ipe 2.0 Prototype at {C}o{NLL} 2018 {UD} Shared Task
3886,9.417249417249419,365,{S}o{DA}: On-device Conversational Slot Extraction
3816,11.04895104895105,231,{S}tanford{'}s Graph-based Neural Dependency Parser at the {C}o{NLL} 2017 Shared Task
3728,13.100233100233105,221,Semantic Specialization of Distributional Word Vector Spaces using Monolingual and Cross-Lingual Constraints
3704,13.659673659673654,5237,An evaluation of {C}zech word embeddings
3598,16.130536130536132,755,{S}oochow{DS} at {ROCLING}-2021 Shared Task: Text Sentiment Analysis Using {BERT} and {LSTM}
3374,21.35198135198135,1506,Exploring Statistical and Neural Models for Noun Ellipsis Detection and Resolution in {E}nglish
3286,23.40326340326341,200,Learning to Understand Phrases by Embedding the Dictionary
3246,24.33566433566433,250,{JW}300: A Wide-Coverage Parallel Corpus for Low-Resource Languages
3205,25.291375291375296,202,Modelling Context and Syntactical Features for Aspect-based Sentiment Analysis
3197,25.47785547785548,1362,Contextual String Embeddings for Sequence Labeling
3152,26.526806526806524,300,Explaining Word Embeddings via Disentangled Representation
3098,27.78554778554778,289,Towards Handling Compositionality in Low-Resource Bilingual Word Induction
2969,30.79254079254079,987,Universal Sentence Encoder for {E}nglish
2940,31.46853146853147,579,Decentralized {W}ord2{V}ec Using Gossip Learning
