feature,importance
year,0.06693427456382625
spec_15,0.05826224992398206
spec_4,0.04207567561208693
spec_10,0.03280699495552122
spec_2,0.02988033242645526
spec_3,0.028702472116732925
spec_1,0.027451152662582457
spec_8,0.027055841156195207
spec_12,0.026625240474610765
spec_skew,0.02616281255621033
spec_5,0.025528479968039974
spec_16,0.025486786598345752
spec_top1_ratio,0.02454845982165623
spec_18,0.024214397348610417
spec_11,0.02376471104833565
mean_spec_max,0.02353754951022676
spec_19,0.023116356939942073
spec_9,0.023022725109466673
spec_kurtosis,0.022964165527318916
mean_spec_kurtosis,0.02263400538726147
spec_max,0.022416849501144212
mean_spec_skew,0.021404163541490082
spec_17,0.020296972506964026
spec_0,0.020023951098673647
p_cos_dist_3y,0.01872942192307892
spec_13,0.01862172382327391
p_cos_dist,0.018124183038668418
mean_spec_std,0.01811837593425618
spec_6,0.018087214311367717
spec_14,0.01765627233698136
spec_7,0.015617789196738523
spec_top3_ratio,0.015603335884757012
p_nn_novelty,0.015249421317720353
mean_spec_entropy,0.014639282247620358
mean_spec_top1_ratio,0.013959763090575223
spec_mean,0.013957700373701622
spec_std,0.013953006462825414
p_density,0.013143116069680097
p_density_3y,0.012988229631360551
spec_hhi,0.010842129589479742
mean_spec_top3_ratio,0.01074505372231491
mean_spec_hhi,0.010436401440300978
p_nn_novelty_3y,0.00900160545867584
spec_gini,0.007706707575786056
mean_spec_gini,0.007407489404643741
mean_spec_mean,0.00671219858249106
spec_entropy,0.006651151606831306
n_ideas,0.0031318066211911627
spec_n_active,0.0
mean_spec_n_active,0.0
