k,window,sp_r
3,all,0.39791796455729367
3,2,0.4095769934261489
3,3,0.4000250635776568
3,5,0.39607769138563154
5,all,0.40204499929065524
5,2,0.411630580621961
5,3,0.403325771529158
5,5,0.4000712828748161
10,all,0.40392477071025995
10,2,0.4106424598626073
10,3,0.4038858737242746
10,5,0.40050151014360014
20,all,0.40324428180999455
20,2,0.40853047587337643
20,3,0.4017387287043432
20,5,0.3983437897728833
50,all,0.4005753336876725
50,2,0.40515217754448796
50,3,0.39660721910520175
50,5,0.39353019322202154
pctile,all,0.30262699052222014
pctile,3,0.2398988793343904
pctile,5,0.3138639755321256
