source,k,window,sp_r
abstract,5,all,-0.09481266482086058
abstract,5,2,-0.1378274513810069
abstract,5,3,-0.1430068282593725
abstract,10,all,-0.0814500801465681
abstract,10,2,-0.13635706142175275
abstract,10,3,-0.14259965863802285
idea_mean,5,all,0.4016628700951955
idea_mean,5,2,0.4113553835825028
idea_mean,10,all,0.40351301242754734
idea_mean,10,2,0.41034907345948085
abstract_DM_K100,100,all,0.045192160041958473
abstract_DM_K300,300,all,0.017398804639063528
abstract_DM_K500,500,all,-0.0018588808111179424
