cluster,sp_r,sp_p,mean_activation
276,0.1989325315611112,2.206727282274151e-27,0.47040075
24,0.1870844952275602,2.360110659120784e-24,0.4559768
93,0.1866595899185592,3.005504081968028e-24,0.48057112
6,0.1859859281140023,4.404020972740658e-24,0.46005154
30,0.18483715088915162,8.420783223785096e-24,0.45956367
161,0.18336641116799937,1.918999266959264e-23,0.47225112
273,0.1811588555329387,6.521990443051323e-23,0.48100895
211,0.17596446389307235,1.0913953699861634e-21,0.48329484
111,0.17581582905357807,1.18153839131215e-21,0.4643874
220,0.1744348891150226,2.461567738927214e-21,0.49352607
234,0.17179182654563066,9.863216353262314e-21,0.4637597
298,0.1707723657806868,1.6748370133826887e-20,0.48755494
153,0.16618687889435735,1.740837541801686e-19,0.48336366
171,0.1656379893636899,2.2937738352721057e-19,0.48013857
121,0.16544222930488078,2.530318578331848e-19,0.4524131
205,0.16463132315504656,3.7947827645026624e-19,0.4559121
105,0.16375402947411152,5.869533728325763e-19,0.45980614
169,0.16367949671056273,6.090429075888718e-19,0.47705814
261,0.16243104727457952,1.1279148618105146e-18,0.46375027
258,0.1622275982000096,1.2464918177127487e-18,0.4257158
277,0.16199940921533262,1.3941677830932073e-18,0.4621667
238,0.1612113163754626,2.0497972251461328e-18,0.47805077
152,0.158369782108742,8.096648831643848e-18,0.47911727
78,0.156269832143478,2.1989092319217746e-17,0.47339734
294,0.1545178321664117,5.008151267054489e-17,0.47578552
64,0.1520079755358083,1.6017811503357135e-16,0.467445
210,0.1496739862927783,4.640707959534353e-16,0.48335868
246,0.14792235317499355,1.0198096256771649e-15,0.48573798
175,0.1475925753225376,1.181509834505998e-15,0.48284632
39,0.14334116211941866,7.647245819696531e-15,0.44928724
70,0.14288022966704075,9.33250598456352e-15,0.470126
80,0.1414955205374641,1.691002033339499e-14,0.4889664
118,0.14083044280628482,2.2450699867584726e-14,0.42426282
146,0.14061364100006754,2.4616535225581856e-14,0.46302438
281,0.14040794215623062,2.686075289073628e-14,0.43346953
77,0.14027600114693842,2.84048996416276e-14,0.47593442
131,0.1400988411639192,3.0616232092980337e-14,0.46161082
46,0.14006636606086478,3.1039557587579306e-14,0.4741863
285,0.1399587528815994,3.248387462004179e-14,0.45865098
221,0.13918432474441061,4.501553219419513e-14,0.4736651
262,0.13782485363848007,7.946691589929183e-14,0.4502319
16,0.13718426701764222,1.0366831222962302e-13,0.4685969
225,0.1339994437195278,3.816493331694017e-13,0.47185513
85,0.13304879327222396,5.598031293112429e-13,0.4426379
59,0.1320665232164055,8.292680370115369e-13,0.46105108
201,0.132006594894111,8.493094395561352e-13,0.44538084
10,0.13187509657731192,8.949652825511893e-13,0.45628968
151,0.12945647667292276,2.3228789151367716e-12,0.443206
117,0.12908051937064205,2.689845941137414e-12,0.45838535
212,0.12879584566662666,3.004959886656817e-12,0.4775734
264,0.1281547480594772,3.853008680206485e-12,0.44688588
257,0.12402210815407869,1.85731613756642e-11,0.49923623
23,0.12364449561222163,2.1389167880974023e-11,0.48157617
1,0.12199357871600289,3.9451038401985584e-11,0.46902242
215,0.12149595158309806,4.736999074357638e-11,0.4693306
149,0.12073662581044865,6.253301951314202e-11,0.42001453
190,0.11921065469825877,1.0869946013152894e-10,0.42625433
83,0.11865245510774226,1.3283432258298172e-10,0.48552728
189,0.11763809850705866,1.9077727682653085e-10,0.4740082
187,0.11761068922725464,1.9264441016688484e-10,0.48353085
18,0.11710574521832298,2.30412132391517e-10,0.47238198
60,0.11681762151764824,2.551067351400149e-10,0.482517
74,0.11391881493807147,7.008638714929161e-10,0.49152908
4,0.11347174675461068,8.17264352388736e-10,0.4621106
57,0.11072311666726899,2.0748251878377944e-09,0.43319625
89,0.11068868276359102,2.0988866955818097e-09,0.47422132
259,0.10844858346354783,4.410520925115973e-09,0.4836295
199,0.10813511674860725,4.887727193359483e-09,0.4499973
186,0.10777289696906811,5.5018268456470245e-09,0.4929005
293,0.10737572620522479,6.261435661631623e-09,0.48078874
180,0.10735079725626878,6.312372242862617e-09,0.46148086
272,0.10592888059210606,9.990362856770572e-09,0.427871
87,0.1046032814435412,1.5245530871706258e-08,0.446071
207,0.10396829194979909,1.863286916628665e-08,0.4767085
11,0.10340664308519744,2.2229271381071134e-08,0.4690533
287,0.10183397408286267,3.625827676133834e-08,0.38591257
163,0.10172495381674768,3.7499062039312795e-08,0.45998868
162,0.10146121438458647,4.067336279468458e-08,0.4474261
15,0.10139088491003645,4.156287865799772e-08,0.47288522
123,0.10120150973025237,4.405281496684411e-08,0.45259893
101,0.10055867561064503,5.362989108936897e-08,0.45445618
231,0.10017950317157592,6.019407293328086e-08,0.4410659
196,0.09839426378977315,1.0308883912117467e-07,0.47293115
82,0.09814948315091604,1.1090089919377525e-07,0.47602728
219,0.09780172231602346,1.2299131586739128e-07,0.4720697
92,0.09753632669140312,1.3306608972335985e-07,0.4648906
278,0.09673549861573977,1.6854082517939528e-07,0.39562201
50,0.0958301338374704,2.1966769682877988e-07,0.43228698
279,0.09543461965800816,2.4643761601876645e-07,0.459841
31,0.09188797482753878,6.772321739997312e-07,0.47084704
22,0.0914242768590735,7.708493933196038e-07,0.48240083
65,0.09016633556848536,1.0918439462529567e-06,0.46603754
56,0.08765414199588398,2.158599243539044e-06,0.42517602
96,0.08728608277213834,2.3816507026340237e-06,0.45909286
5,0.085963241541312,3.3804359762135196e-06,0.47559232
102,0.08495795632662126,4.396408088960439e-06,0.4832608
157,0.0844944149605178,4.957902295520577e-06,0.4785993
115,0.08086044457034389,1.2453106983442925e-05,0.4267875
81,0.08060866036708336,1.3255143416918067e-05,0.4520234
173,0.07959463657255082,1.7012137467638017e-05,0.4640136
72,0.07942963690415059,1.7712223814727272e-05,0.46279994
254,0.07803157726428128,2.484984862273092e-05,0.48101217
194,0.07772119461800564,2.6769688321609475e-05,0.4345956
200,0.07760879733407894,2.7499053606023238e-05,0.47805202
167,0.07746765101916651,2.8441743939754236e-05,0.4550275
178,0.07638208440433608,3.678932169135054e-05,0.41230685
209,0.07565881166639397,4.358952570496743e-05,0.42933086
253,0.0736415399615812,6.941165436579154e-05,0.42490852
197,0.07362088492566668,6.973894799756181e-05,0.444494
98,0.07338917412652149,7.351198650532141e-05,0.47218606
193,0.07293190158289169,8.153113745485996e-05,0.4780519
40,0.07284291834407455,8.318476706068328e-05,0.47367406
66,0.07213881521264956,9.743250285753133e-05,0.4864436
33,0.07160328098507526,0.00010977923010767262,0.41826937
124,0.07059746906913383,0.00013705412356324384,0.46068585
275,0.07015647993612206,0.0001509232939572598,0.45372173
114,0.06974765622569377,0.00016495107792308412,0.4482716
233,0.06965876733029885,0.00016815919023564042,0.43982995
130,0.06938071078898042,0.00017857750069409748,0.46240592
226,0.06824291357396,0.00022786200829056052,0.47598487
107,0.06773141809839953,0.00025394622055509037,0.47348124
26,0.0675706560874726,0.00026270605632713103,0.4212069
43,0.06682398687991635,0.0003072314301141102,0.4754852
218,0.06680102661516692,0.00030870652329265927,0.46552488
41,0.06648913022995714,0.00032941231857011404,0.45633298
136,0.0658352845901729,0.00037710479353616816,0.46069008
88,0.06526203671261104,0.00042415054188295396,0.45254797
27,0.06523889532872709,0.0004261601469848481,0.45580342
168,0.0649548375024349,0.00045156269995412274,0.46399277
260,0.06460449267353736,0.0004848381849516518,0.45526317
61,0.06450794498327823,0.0004944020864320944,0.40997586
35,0.06420513976226881,0.0005255502651220803,0.4464095
135,0.06376034847086483,0.0005746314756147031,0.45983136
160,0.06364014344597782,0.0005886097488699483,0.4630094
188,0.06215453816840223,0.0007895750679151336,0.41813636
90,0.060895997291851314,0.001007824950966654,0.46047428
8,0.060714181224820724,0.0010436144575267478,0.48280212
58,0.06016936295464928,0.0011580177057641434,0.4617757
269,0.05979091785699398,0.0012441871445757345,0.46396565
122,0.05834035644001818,0.0016322018201019018,0.43945605
73,0.058174251876151384,0.0016831114952631245,0.46701276
144,0.05812577497827473,0.001698242155060485,0.41493443
267,0.0579850939682032,0.0017428624793124996,0.4254492
230,0.057742012292583085,0.001822508712669373,0.452924
84,0.056750344438827,0.0021832836665676347,0.4178608
177,0.054403748639314485,0.0033118415425172723,0.4693743
265,0.054139275903058136,0.0034678093850457974,0.48088562
29,0.05397825120011663,0.0035660136199580214,0.44308078
138,0.05289824168475331,0.0042927275109031415,0.407112
202,0.05161771336223292,0.005326676883460681,0.46427283
292,0.05150635490560213,0.005426446816119012,0.450978
79,0.05099453475346709,0.005907032856749444,0.4457459
42,0.05087193517008949,0.006027698784268372,0.3986309
68,0.050503305943714265,0.006403998627553654,0.4728605
268,0.04971679414591948,0.007278333742296106,0.44202796
14,0.049565511340103015,0.007458296592358199,0.47129065
54,0.04905766712734323,0.008091946825219467,0.4552523
291,0.04902029014632347,0.008140433037067744,0.47138837
228,0.048117449667392134,0.00939337772506881,0.454896
37,0.04788240750099081,0.009746575271096436,0.4358693
179,0.046908410128605096,0.011339523162696877,0.45997593
155,0.04593927960901323,0.013149677971116396,0.45037937
216,0.045469696106326625,0.014115276285480384,0.4222689
242,0.04539061365892808,0.014283905164025014,0.4364387
28,0.04277969306263098,0.02094464497193864,0.46091923
165,0.041934288225641256,0.023616551233784765,0.45075017
120,0.04091300574731679,0.027234353255048385,0.46363202
86,0.04002932191842545,0.03074096193999608,0.46349072
297,0.03784992393719023,0.04108220587834914,0.47632805
296,0.036370766923460945,0.04966735709601757,0.47157693
119,0.036102261458026,0.051376944964715635,0.4573666
51,0.034938769400177934,0.059363839213628235,0.46672
286,0.03462374524047448,0.061695421621177915,0.4452498
19,0.034231675085510414,0.06470255202918293,0.4427847
172,0.034179233964041926,0.0651137851144379,0.4179989
134,0.033377128912608606,0.07167668362697562,0.44810194
133,0.03249574333014928,0.07950291467774993,0.4448275
236,0.03159270352515139,0.08822764817490036,0.45706275
270,0.03075338101362691,0.09701342940323636,0.43894544
32,0.030090984654369053,0.10442966212285718,0.44458205
229,0.029989072709184713,0.1056096055007521,0.43559456
181,0.028516995826091632,0.12385855863527497,0.47480366
274,0.027090620721142027,0.14380108709899225,0.47712314
49,0.026785286207461147,0.14837362344649271,0.4316573
176,0.02673306198367514,0.14916670242419897,0.4679798
217,0.026395339870204915,0.1543736372232005,0.42199582
282,0.02603964862689044,0.16000565254886487,0.46885166
195,0.024050634772280883,0.1943916114267937,0.44663337
20,0.02392536222185564,0.19672609640710237,0.41606867
232,0.02239105693034011,0.2269981415430447,0.45007858
170,0.02191304329926701,0.2370748516971137,0.43098333
192,0.02180093150423314,0.23948326786393143,0.4703016
247,0.0210651239379297,0.2557182800802838,0.434757
140,0.019322641284693184,0.2971634875943527,0.4240542
0,0.01842995183063921,0.3200462481962098,0.43727297
75,0.01621856892895303,0.38155543786530555,0.43079594
9,0.015444173680306136,0.40470476562274965,0.43866527
126,0.014061222597167307,0.44807565143708467,0.41755995
227,0.013415533170047336,0.4691959930726842,0.4341098
252,0.009417035812668414,0.6114172940559695,0.43364823
52,0.008953955473200109,0.6290481088759678,0.43260762
109,0.00836648921991522,0.6517214255795064,0.4422175
244,0.003017803703519751,0.8706695974957027,0.4578589
198,0.0030177469457823734,0.8706720084901652,0.45483047
106,0.0028802316476837625,0.8765169537256188,0.4719292
271,0.0011136175817479932,0.9520930102327629,0.41626433
251,0.0005405840556605531,0.9767337939562123,0.44746593
156,-0.005245995197567762,0.7771627270538208,0.46309528
103,-0.0053336566521101055,0.7735398295282345,0.45276418
290,-0.005642658550275771,0.7608090798377138,0.41117433
36,-0.007538831140624249,0.6842147068511769,0.4265959
91,-0.010027520293457472,0.5885153037863388,0.43346184
97,-0.010454099906531298,0.5727512916218018,0.4276565
2,-0.01164860846104977,0.529707432593076,0.4512918
266,-0.01179169245100445,0.5246638476725894,0.43392077
263,-0.012408658992838486,0.5032013604432003,0.39197952
241,-0.012416825095420081,0.5029204265348378,0.4319794
174,-0.012963178992364557,0.48431422019141246,0.44533446
248,-0.01446688657152484,0.4350874278817055,0.4346996
184,-0.017403312408984052,0.3477495953526435,0.43366775
7,-0.019976502912718783,0.2811136871679488,0.44360185
137,-0.020268066016415297,0.27415008964363896,0.4332947
142,-0.020270675390780625,0.27408830474926577,0.42913502
150,-0.023583400406346704,0.20320297279435612,0.426937
299,-0.02380995007169944,0.19889493172522157,0.481946
208,-0.025072151133449485,0.17610950122472446,0.36284438
95,-0.02589024321160044,0.1624171222053507,0.4191175
222,-0.026092292739562414,0.1591624310721617,0.38306612
141,-0.027163349857320593,0.14272802696802483,0.43719965
250,-0.027720391109230857,0.13471198625285397,0.46372145
249,-0.028971309660961432,0.11798139704037712,0.47050357
288,-0.030319900684323435,0.10181740898950808,0.42642868
47,-0.03065217859669152,0.0981184584776793,0.45337355
147,-0.031253313605281594,0.0916998138870704,0.4395491
289,-0.032214330161019065,0.0821432304449913,0.46343803
110,-0.032312292151260226,0.08121616685475483,0.4142824
25,-0.03284273495017389,0.0763427052856477,0.45413265
148,-0.03290993811876944,0.0757426518731368,0.38446295
256,-0.03637399255978108,0.049647112776429476,0.45564744
53,-0.0368813064163526,0.04654814526966507,0.42195898
12,-0.037230493513573396,0.04451101626305462,0.4504446
280,-0.037554005036328136,0.04269128123046286,0.44333592
116,-0.038342137642976906,0.03851955775575944,0.43740806
108,-0.03852702752571345,0.03759267972983865,0.4425175
223,-0.0386971624542946,0.03675659577407832,0.40414292
100,-0.039514828911537944,0.032955880016634874,0.44144022
67,-0.04317190577720214,0.019797184031915188,0.44947782
143,-0.04628605090155557,0.012474564687665475,0.43870738
45,-0.04655232816917826,0.011977171971486495,0.4404878
255,-0.04667825825068121,0.011748122184031269,0.3976862
204,-0.04729584997492269,0.010680107045600594,0.42233562
17,-0.04747726081966024,0.01038323419935293,0.41644078
283,-0.052234677697655864,0.004803317278605109,0.4185342
240,-0.054172525944682,0.0034478401919714875,0.4388249
166,-0.05733382778349366,0.0019638064818019263,0.43534485
129,-0.05777860222298224,0.0018103100010204143,0.4073794
13,-0.05857323386543766,0.00156320947372111,0.4146589
21,-0.06101299023824342,0.0009853996016682318,0.43777302
127,-0.06157560642172785,0.0008838653995269353,0.44150054
203,-0.06180557532783519,0.0008452262863621697,0.4312134
3,-0.06286508967829449,0.0006866119123848527,0.4572893
213,-0.06295225828971085,0.0006748778372202435,0.4472124
145,-0.0649250800399609,0.00045430403378998057,0.408504
38,-0.0653812571043267,0.0004139368183159628,0.44169524
55,-0.06646271631783764,0.00033122424576167476,0.45306566
182,-0.06716510392894068,0.0002860787974527297,0.4542156
113,-0.06950595232803404,0.0001738119904994858,0.45042947
128,-0.07117588258377049,0.00012067638056617762,0.3984401
71,-0.07148526947225589,0.00011269156760994567,0.44253483
154,-0.07171749671138408,0.00010702826627463006,0.4412926
112,-0.0737649500247592,6.748619970409407e-05,0.42174304
158,-0.0739720973321412,6.436736304582448e-05,0.43081826
191,-0.07405313796577383,6.318472164471901e-05,0.4293214
44,-0.07612582156888535,3.9074548837168095e-05,0.44360566
76,-0.07702782607590565,3.158011197373998e-05,0.40834183
183,-0.07961269613842549,1.6937132050964687e-05,0.42335677
104,-0.08156537320451132,1.0446448993072485e-05,0.42265284
139,-0.08513819101675134,4.194974901357403e-06,0.42293563
235,-0.08750767087250907,2.244850247279431e-06,0.42274487
164,-0.09184898728502007,6.84661535125074e-07,0.4218722
243,-0.09394618921372223,3.783401371247943e-07,0.43122074
159,-0.09807628678202668,1.1334609512995317e-07,0.41852266
239,-0.10083115555572686,4.934669127123057e-08,0.41129884
214,-0.10227098533462416,3.167218858362332e-08,0.45429927
34,-0.10304967948774893,2.485592268542219e-08,0.45766485
295,-0.10446913193089247,1.5907213978119468e-08,0.4452258
132,-0.10615707721630051,9.284446843517543e-09,0.3975379
237,-0.11147148834642251,1.6135248726434269e-09,0.39275563
185,-0.11244791803239905,1.1593399078282061e-09,0.40718374
62,-0.11368208517784953,7.603257186400336e-10,0.4343915
206,-0.12001923122161537,8.116516228088549e-11,0.40238193
94,-0.13709831538027614,1.0742289837400872e-13,0.42289716
284,-0.13956203578965584,3.8401904870125484e-14,0.3853709
224,-0.14721486821793536,1.3978719774742934e-15,0.42859298
48,-0.1482770430796937,8.701831294596141e-16,0.40575552
69,-0.1575020463882185,1.2255208599293205e-17,0.43616983
99,-0.1579525589561224,9.88522518161952e-18,0.40544775
245,-0.16407062746078957,5.016112062816695e-19,0.42306483
63,-0.16891832080866348,4.3505084991637986e-20,0.4385853
125,-0.16923051015132054,3.70734013402683e-20,0.43607464
