metric,spearman,NDCG@10,NDCG@50,NDCG@100,NDCG@500
D_M_mean,0.3835863341002404,0.3861291486775857,0.4715138294609779,0.4766293464426795,0.5887564910210302
p_knn5_2y,0.41163051441609916,0.23266330620316736,0.3183916452686156,0.3674722670999158,0.5549679131975319
p_knn10_all,0.40392477071025995,0.2583155065864133,0.3532031459686079,0.37871940699644063,0.5632975531723798
rarity_mean,0.08020291154395644,0.26722573223156126,0.36502581902053843,0.3861566698741632,0.4895359809202283
coherence,0.08920584497967618,0.2702284219319355,0.36900913938639057,0.388051874844019,0.49264006430167745
fusion_D_M+kNN5,0.4215251378085164,0.3124361072595054,0.3754034933473389,0.42435948370408244,0.5810338370377056
fusion_D_M+kNN5+R,0.460625260359899,0.4006975882409095,0.46764974843936846,0.5030424036685452,0.6126034156417234
fusion_D_M+kNN5+R+C,0.4079499925317995,0.4234905613150146,0.4655769998386384,0.5045666379977015,0.5918398924364119
fusion_D_M+kNN10,0.4124253993671449,0.3116701766351129,0.40077634805282886,0.42677650486732555,0.5868377003780312
fusion_ALL,0.4605318464409416,0.39140921518507366,0.45842136314812687,0.5047342124303936,0.6059228265640481
fusion_D_M+kNN5+kNN10,0.4198969717017183,0.30529633757757524,0.3731641532658318,0.3976806445168056,0.5780749823267997
znorm_D_M+kNN5+R,0.10790170358562624,0.3402892513492555,0.3607828944325215,0.37452609624401334,0.4995953117529982
znorm_D_M+kNN5,0.10469090370449327,0.26763316577793456,0.3540977512951726,0.3519167574912839,0.46588547196233776
